itemId,name,country,itemRating,category,description
18,Niagara Falls Canada,Canada,5.0,"Sights & Landmarks, Points of Interest & Landmarks, Nature & Parks, Waterfalls","The crashing waters of Niagara Falls—comprising two American falls and one Canadian—are truly a sight to behold. Get up close on a boat ride (be prepared to get soaked!), enjoy amazing aerial views from the Skylon Tower or on a helicopter tour, stroll along the White Water Walk, or hit the Journey Behind the Falls attraction that offers views of the falls from below and behind. Adventure seekers can also go zip-lining, jet-boating, hiking and cycling with the falls as the backdrop. For a truly magical experience, stay after dark when the falls are illuminated. For peak water flow, visit between June and August."
19,Pyramids of Giza,Egypt,4.5,"Sights & Landmarks, Ancient Ruins, Historic Sites","Perhaps the most recognizable among the Seven Wonders of the World, the exact origin of these majestic pyramids continues to spark debate."
20,Louvre Museum,France,4.5,"Sights & Landmarks, Architectural Buildings, Points of Interest & Landmarks, Museums, Art Museums","As one of the largest, oldest, and grandest museums in the world, the Louvre hosts a treasure trove of artworks spanning diverse cultures and periods of history. Marvel at the museum's greatest hits: the Mona Lisa, the Venus de Milo, Winged Victory, and stunning collections of prized paintings and Greek and Roman statues. It's not possible to see all of the museum in one visit, so be inspired to return for your next trip to Paris. Buy timed-entry tickets online to skip the lines as the museum is usually packed. You can also join a guided tour to enjoy a curated experience organized and led by an expert."
21,Burj Khalifa,United Arab Emirates,4.5,"Sights & Landmarks, Observation Decks & Towers, Architectural Buildings","Standing over 2,700 feet and 163 floors high, this record-breaking skyscraper in downtown Dubai is the tallest structure in the world. Burj Khalifa has several open-air viewing decks and swanky lounges which offer splendid views of the UAE and the Persian Gulf. The highest lounge is located at level 154, and there is even a hotel at levels 38 and 39. Designed by Skidmore, Owings & Merrill architects, this mixed-used development atop Dubai Mall is inspired by the Great Mosque of Samarra in Iraq. You might want to buy skip-the-line tickets or join a tour to avoid snaking queues at this popular attraction in Dubai."
22,Times Square,United States,4.5,"Sights & Landmarks, Neighborhoods, Scenic Walking Areas, Points of Interest & Landmarks, Other, Neighborhoods","Central area in NYC that has many shops, restaurants, office buildings and flashing billboards around it."
23,Disneyland Park,United States,4.5,"Water & Amusement Parks, Theme Parks","Iconic amusement park featuring 8 themed ""lands"" with rides, shows & costumed characters."
24,London Eye,United Kingdom,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Observation Decks & Towers","Located along the Thames River, this iconic observation wheel offers unobstructed views from its glass pods. During the 30-minute ride, you'll be able to see London's well-known buildings like Buckingham Palace, Big Ben, and The Shard. On a clear day, you can see up to 25 miles from the top—where Windsor Castle is. Sunset views here are otherworldly, but nightfall views of the twinkling lights are great too. London Eye can be reached easily by taking the Tube to Waterloo station. You might want to buy fast-track passes online in advance to skip the queues."
25,Petra,Jordan,4.5,"Sights & Landmarks, Ancient Ruins, Historic Sites","A UNESCO World Heritage Site, Petra (ancient capital city of the Nabataean people) recently proclaimed as one of the New Seven Wonders of the World."
26,Mount Fuji,Japan,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Lookouts, Nature & Parks, Mountains","Four routes, each divided into ten sections by stopping and refueling stations, lead up to Mt. Fuji's snow-covered tip. You don't have to be a die-hard mountaineer to climb Mt. Fuji; the slopes are full of children and adults of all ages, shapes, and sizes. The official climbing season only runs from the beginning of July to the end of August, but you can take the train from Toyko to the fifth station any season."
27,Chichen Itza,Mexico,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Ancient Ruins, Historic Sites","Chichén Itzá is one of Mexico's most important cultural landmarks, famous for its treasure trove of pre-Columbian architecture and artifacts. Dating back nearly 1,500 years, the archaeological city was built with the iconic pyramid of Kukulcán at its center, the greatest symbol of Mayan society and an important astronomical and mathematical achievement. Book a day tour from the cities of Cancun or Mérida to be guided through the site while learning about the magnificence of Mayan culture. Alternatively, you can catch an early morning colectivo (minibus) from the town of Valladolid to self-tour and beat the heat and for fewer crowds."
28,Stonehenge,United Kingdom,4.0,"Sights & Landmarks, Mysterious Sites, Ancient Ruins, Points of Interest & Landmarks","One of the most important survivals of prehistoric England, Stonehenge consists of a group of huge rough-cut stones, some more than 20 feet high, arranged in two concentric circles."
29,Angkor Wat,Cambodia,5.0,"Sights & Landmarks, Ancient Ruins","This iconic, sprawling temple complex is surrounded by a wide moat & features intricate carvings."
30,Buckingham Palace,United Kingdom,4.5,"Sights & Landmarks, Historic Sites, Points of Interest & Landmarks","Buckingham Palace is recognised around the world as the focus of national and royal celebrations as well as the backdrop to the regular Changing the Guard ceremony. Explore the magnificent State Rooms which are open to visitors for 10 weeks each summer and on selected dates during winter and spring. During a visit to Buckingham Palace, visitors can see the 19 magnificent State Rooms, which provide the setting for ceremonial occasions and official entertaining. All rooms are furnished with many of the greatest treasures from the Royal Collection."
31,Central Park,United States,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Scenic Walking Areas, Nature & Parks, Parks","For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!"
32,Big Ben,United Kingdom,4.5,"Sights & Landmarks, Points of Interest & Landmarks","Better known as Big Ben (it's actually the name of the Great Bell!), this iconic clock tower which stands at the Houses of Parliament is officially called the Elizabeth Tower, named in honor of Queen Elizabeth II's Diamond Jubilee. When the Elizabeth Tower is open for tours, you can climb up the tower and admire the clock and bell up close. But fret not, you can still learn about its history and admire its ornate golden facade on a tour of London or the Houses of Parliament."
33,Las Vegas Strip,United States,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Historic Walking Areas","Stretching for over 4.2 miles, the most famous entertainment destination in the U.S. showcases an eclectic collection of mega hotels and resorts, glitzy casinos, lavish shopping malls, and Michelin-starred restaurants. The best way to enjoy the Strip is to stroll down the avenue and marvel at free spectacles like the dancing fountains of Bellagio and the erupting volcanoes of The Mirage. Or rest your legs by joining an open-top bus tour that cruises down the boulevard. For a more adventurous experience, splurge on a luxurious helicopter tour for a bird's eye view of Las Vegas' iconic landmarks."
34,Golden Gate Bridge,United States,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Bridges, Historic Sites","Stretching 4,200 feet and towering as high as a 65-story building, this well-known bridge is the gateway to San Francisco."
35,Blue Lagoon,Iceland,4.5,"Spas & Wellness, Thermal Spas, Spas","One of Iceland's must-dos, the geothermal Blue Lagoon is famous for its ethereal milky-blue waters. Remaining at 102 degrees fahrenheit all year round, the waters are rich in silica and minerals. Soak in the lagoon, slather on a silica mud mask and enjoy the complimentary drink at the swim-up bar. Choose from the basic ‘Comfort' package, the ‘Premium' package or the ‘Luxury: Retreat Spa' package that includes five hours at the spa. Make the Blue Lagoon your first or last stop from the airport, or combine it with a tour that includes Kerid Volcanic Crater and the Golden Circle."
36,Great Barrier Reef,Australia,4.5,"Nature & Parks, Reefs","The Great Barrier Reef is the world's largest coral reef system, composed of over 2,900 individual reefs and 900 islands stretching for over 2,300 kilometres over an area of approximately 344,400 square kilometres."
37,Victoria Falls,Zambia,5.0,"Nature & Parks, Waterfalls","This waterfall is famous for its enormous size & has a natural pool where visitors can swim."
38,Edinburgh Castle,United Kingdom,4.5,"Sights & Landmarks, Castles","Edinburgh Castle is a world famous icon of Scotland and part of the Old and New Towns of Edinburgh's World Heritage Site. It was recently voted top UK Heritage Attraction in the British Travel Awards and is Scotland's number one paid-for tourist attraction. This most famous of Scottish castles has a complex building history. The oldest part, St Margaret's Chapel, dates from the 12th century; the Great Hall was erected by James IV around 1510; the Half Moon Battery by the Regent Morton in the late 16th century; and the Scottish National War Memorial after the First World War. The castle houses the Honours (Crown Jewels) of Scotland, the famous 15th century gun Mons Meg, the One O' Clock Gun and the National War Museum of Scotland. Please note that the ""Honours of the Kingdom Exhibition"" is currently closed for essential maintenance works. The Crown Room and Jewels are open to visitors."
39,Versailles Palace,France,4.0,"Sights & Landmarks, Architectural Buildings, Castles, Historic Sites, Points of Interest & Landmarks","Palace, Trianon Palace, and the estate of Marie-Antoinette: open daily except Mondays and certain public holidays. Gardens and park: open daily."
40,Notre-Dame Cathedral,France,4.5,"Sights & Landmarks, Historic Sites, Churches & Cathedrals, Architectural Buildings","A visit of the Towers of Notre Dame de Paris, built from 1160 in the Flamboyant Gothic style, gives visitors a close-up view of the Cathedral's flying buttresses, spires and roofs. Gargoyles and chimeras adorn the outer gallery of the North Tower with its ribbed vaulting and spiral staircase, while the South Tower houses the belfry and Emmanuel, the great bourdon bell. The upper gallery provides magnificent views of Paris, the Seine and the succession of bridges across the river. Designated world heritage site by UNESCO.Open:> 1st April to 30th September: from 10 a.m. to 6.30 p.m.> From July to August on Saturday and Sunday: until 11 p.m. (evenings).> 1st October to 31st March: from 10 a.m. to 5.30 p.m. Last admission 45 minutes before closing time.Closed:> 1st January, 1st May and 25th December.Admission fees: Adults : 8,5€; Concessions (18 to 25) = 5,50 €; Free admission: minors under 18*; Free admission: 18-25 years old* (citizens of one of the 27 countries of the EU or are non-European permanent residents of France) * excluding school grou"
41,Mount Kilimanjaro,Tanzania,5.0,"Nature & Parks, Mountains","This iconic mountain with 3 volcanic cones is a prime climbing site with 7 trekking routes."
42,Yellowstone National Park,United States,5.0,"Nature & Parks, National Parks","Renowned park since 1872 is home to mountains, animals & nearly half of the globe's active geysers."
43,Plitvice Lakes National Park,Croatia,4.5,"Nature & Parks, National Parks","As Croatia's oldest and largest national park, the UNESCO World Heritage Plitvice Lake National Park is reputed for its 16 emerald lakes and magnificent waterfalls—including Veliki Slap, the country's largest waterfall. The park is broken up into the upper and lower falls, with a boat ride connecting the two. Various hiking loops are available, with a panoramic train ride that goes through lush forest too. You can take a guided day-trip from Split or Zagreb, or combine your visit with the nearby Barac Caves. Visit in the shoulder seasons of fall or spring if you want a quieter experience."
44,Banff National Park,Canada,5.0,"Nature & Parks, Hiking Trails, National Parks, Nature & Wildlife Areas, Outdoor Activities, Hiking Trails","It's hard to beat the breathtaking scenery and landscapes at Banff National Park, Canada's oldest national park. Here, you'll see pine forests, glaciers, snow-capped mountains, alpine lakes, and wildlife like grizzly bears, moose, and elks. If you love adventure, summer is ideal for stunning hikes up Banff's peaks, and winter is great for skiing against the backdrop of the Canadian Rockies. There are plenty of accommodation options for all kinds of travelers as well, from outdoor campgrounds to luxury hotels. Don't know where to start? You can tour Banff on a guided canoe, a horse-drawn wagon ride, or even on a multi-day adventure tour from Vancouver."
45,Santorini,Cyclades,5.0,"Food & Drink, Wine Tours & Tastings , Tours, Sightseeing Tours, Historical & Heritage Tours, Wine Tours & Tastings , Private Tours","I am a young local guy, who motivated by love for this magical and blessed rock in the Aegean, founded SBD, the tour company providing top services with a modern fleet of vehicles and an excellent team of professional drivers. Each one of us can guarantee to make you feel “at home” like if being with a friend while touring our island; we love meeting people from all over the world offering them unforgettable romantic and precious memories… With a real smile and a warm embrace we'll take you behind the curtains because we know what makes each location of this island unique. Anyone can be a tourist on Santorini but we will turn you into a sworn lover of this magnificent island! Santorini's Best Driver is waiting for you. Founder and Owner,Matrakas konstantin"
46,Galápagos Islands,Galapagos Islands,5.0,"Tours, Boat Tours, Scuba & Snorkeling, Multi-day Tours, Private Tours, Nature & Wildlife Tours, Boat Tours & Water Sports, Boat Tours, Scuba & Snorkeling, Outdoor Activities, Boat Tours, Scuba & Snorkeling, Nature & Wildlife Tours","We are a local agency in Puerto Ayora, Santa Cruz and offer customized island hopping tours and cruises to the Galapagos Islands. A different and authentic way to discover the famous archipelago in the Pacific Ocean. All itineraries are designed by a naturalist guide who was born on the islands and has been living and working here ever since."
47,Uluru,Australia,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Nature & Parks, Geologic Formations, National Parks","Palya! Welcome to Anangu land. Uluru-Kata Tjuta National Park is Aboriginal land. It is jointly managed by its traditional owners Anangu and Parks Australia. The park is recognised by UNESCO as a World Heritage site for its natural and cultural values. The spectacular rock formations and surrounding sand plains provide rare habitats for an incredible variety of plants and animals. Anangu invite you to visit Uluru-Kata Tjuta National Park to learn more about their land, beliefs and culture."
48,Neuschwanstein Castle,Germany,4.0,"Tours, Bus Tours, Cultural Tours","Bavarian castle tour starts at 9:00am, departing from Fussen center. The first stops will be the Neuschwanstein Castle and the Hohenschwangau Castle, where you will have about 3-4 hours to see both castles and the surrounding area. You will then go to Linderhof Castle, Oberammergau, and the highlights of Austria along with the mountain Lake Plansee and beautiful scenery of the Austrian Alps. The tour will end around 17pm and will return to Fuessen city center.your tour cover skip the line ticket ,transportation and tour guide"
49,Table Mountain,South Africa,5.0,"Nature & Parks, Mountains",The mountain in the middle of Cape Town offers many hikes and magnificent views in all directions.
50,Fiordland National Park,New Zealand,5.0,"Nature & Parks, National Parks","Hailed by Rudyard Kipling as ""the eighth wonder of the world,"" the breathtaking Milford Sound is the star of glacier-carved Fiordland National Park, providing an emerald-green and waterfall-rich backdrop for hiking, biking and kayaking. Frequent downpours only enhance this South Island beauty, sending numerous waterfalls cascading down the cliffs. Passionate nature lovers book in advance to hike the 33-mile Milford Track, a legendary route through alpine passes and temperate rainforest."
51,Prague Castle,Czech Republic,4.5,"Sights & Landmarks, Castles",The largest castle in Europe contains more than seven hundred rooms.
52,Masjidil Haram Mekkah,Saudi Arabia,5.0,"Sights & Landmarks, Sacred & Religious Sites, Architectural Buildings, Historic Sites","The Sacred Mosque, stands majestically in the heart of Mecca, Saudi Arabia, serving as the focal point for millions of Muslims who embark on the sacred pilgrimages of Umrah and Hajj. This bio explores the significance of Masjid al-Haram and the services provided for pilgrims in the Holy Land. Masjid al-Haram holds a revered position in Islam, tracing its roots back to the time of Prophet Ibrahim (Abraham) and his son Isma'il (Ishmael), who built the Kaaba as a sanctuary for monotheistic worship. Over the centuries, the mosque has undergone expansions and renovations, evolving into the grand architectural masterpiece it is today. Its central location in Mecca and the presence of the Kaaba make it the holiest site in Islam and a symbol of unity for Muslims worldwide."
53,Mount Everest,Nepal,5.0,"Nature & Parks, Mountains",The highest peak in the world.
54,Salvador Dalí Museum,Spain,4.5,"Sights & Landmarks, Historic Sites, Museums, Art Museums","Built in the 1930s, this was the summer home of the famous artist Salvador Dalí."
55,Red Square,Russia,4.5,"Sights & Landmarks, Points of Interest & Landmarks, Historic Sites","Red Square is a city square in Moscow, Russia. The buildings surrounding the Square are all significant: Nearby to the South is the elaborate brightly domed Saint Basil's Cathedral and the palaces and cathedrals of the Kremlin, Lenin's Mausoleum. On the Eastern side of the square is the GUM department store, and next to it the restored Kazan Cathedral."
56,Forbidden City,China,4.5,"Sights & Landmarks, Architectural Buildings, Museums, History Museums, Specialty Museums","Consisting of more than 9,000 rooms and spread over 250 acres, this huge palace complex was built in the 15th century and later extensively renovated and restored during the Qing Dynasty in the 18th century"
57,Serengeti National Park,Tanzania,5.0,"Nature & Parks, National Parks","Seronera Tanzania Planet, is one of the best adventure to take atleast once in life. Travelling to Tanzania is a must visit for a future travel destination"
58,Canals of Venice,Italy,4.5,"Nature & Parks, Bodies of Water","Venice's main water thoroughfare, lined with great Renaissance palaces, is a colorful and busy spectacle of gondolas and vaporetti."
59,Alcatraz Island,United States,4.5,"Sights & Landmarks, Historic Sites, Nature & Parks, Islands","Alcatraz Island was once the most secure federal prison in the U.S., and held notorious inmates like Al Capone. After being decommissioned in 1963, the prison is now a museum, welcoming millions of curious travelers every year. Catch the ferry on Pier 33 to Alcatraz and explore the island at your own pace as you soak up the views of San Francisco and the bay. You can take a guided tour with a park ranger to learn more about the intriguing anecdotes about the facility's fascinating history. But book your spots early—tickets sell out fast."
60,St. Basil's Cathedral,Russia,4.5,"Sights & Landmarks, Churches & Cathedrals","Built by Ivan the Terrible in the 1550s, this intriguing cathedral bordering Red Square consists of nine separate chapels, each capped with its own individually shaped and colored dome."
61,Old City of Jerusalem,Israel,4.5,"Sights & Landmarks, Points of Interest & Landmarks","Characterized by narrow, winding streets and alleyways, this ancient part of the city is filled with shrines and attractions holy to Jews, Christians and Muslims including the Western Wall, Temple Mount and the Church of the Holy Sepulchre."
62,Brandenburg Gate,Germany,4.5,"Sights & Landmarks, Historic Walking Areas, Historic Sites, Neighborhoods, Other, Neighborhoods","Located in no-man's land between East and West Germany during the Cold War, this famous monument, built during the 18th-century reign of Friedrich Wilhelm II, has long been a defining symbol of Berlin and both the city's division and unification."
63,Acropolis Museum,Greece,4.5,"Museums, History Museums","Modern, uptodate building on the foot of the Acropolis housing important ancient Greek statues and much more"
64,Petronas Towers,Malaysia,4.5,"Sights & Landmarks, Architectural Buildings","No trip to KL would be complete without a visit to the world's tallest twin towers. The skyscrapers are utterly stunning, particularly when illuminated at night. The Twin Towers Visit Operations is open Tuesday through Sunday and tickets are released at 8:30 a.m. on a first-come, first-served basis. To avoid disappointment, you can purchase your ticket in advance via online ticketing or at the Ticketing Counter, Concourse Level."
65,Mount Rushmore,United States,4.5,"Sights & Landmarks, Monuments & Statues, Nature & Parks, National Parks","Sculptor Gutzon Borglum created this famous mountainside carving of the visages of four great American presidents: George Washington, Thomas Jefferson, Abraham Lincoln and Theodore Roosevelt."
66,The Great Ocean Road,Australia,4.5,"Sights & Landmarks, Scenic Drives, Outdoor Activities, Scenic Drives","The spectacular Great Ocean Road hugs the seaside cliffs that snake along the wild and windswept Southern Ocean. The striking vistas along the iconic road evoke awe with craggy cliffs, empty beaches and soaring bluffs flanked by brilliant green countryside. Add epic surf, native wildlife, unforgettable hiking and biking trails and you will find plenty of things to see and do around every curve."
67,Antelope Canyon,United States,4.5,"Nature & Parks, Canyons","The only way to visit this otherworldly spot is to book yourself on a tour with a Navajo guide. The Upper Antelope Canyon is especially picturesque, with better lit areas and light shafts usually visible at noon, a popular time to visit for the best photos. It can get pretty hot, and the terrain is tricky and uneven, so wear sturdy shoes, load up on water, and pile on the sunscreen. Antelope Canyon can get really busy, especially from March to October when the light beams occur, so secure your booking at least six months in advance."
68,Cliffs of Moher,Ireland,4.5,"Sights & Landmarks, Lookouts, Points of Interest & Landmarks, Nature & Parks, Geologic Formations","Spectacular cliffs stretching 700 feet over the rugged Atlantic coast is part of the Burren and Cliffs of Moher UNESCO Geopark and is a Special Protected Area for Birds and Wildlife, home to 35 species of birds. The Cliffs of Moher Visitor Experience operates under an ethos of sustainability, environmental protection and conservation. Safe accessible viewing areas and pathways along the cliff edge appeal to all levels of ability. A short walk to O'Brien's Tower provides an excellent lookout on Ireland's beautiful western shoreline. The Visitor Centre hidden underneath the hillside houses an exhibition, two cafes, gift shop, toilets, first aid centre, information points and baggage store. Admission includes access to all areas, map and secure parking. The Cliffs of Moher Visitor Experience is a signature point on the Wild Atlantic Way."
69,Blue Mosque,Turkiye,4.5,"Sights & Landmarks, Sacred & Religious Sites","Built between 1609-1616, this impressive mosque has six minarets. Why is it called ""Blue Mosque?"" There are two stories: the first, more common one is that the interior is covered in Blue İznik tiles. The second is: many years ago, ancient sailors who sailed by the mosque on the Marmara Sea saw the blue colors of the sea reflected in the mosque."
70,Manhattan,United States,5.0,"Sights & Landmarks, Points of Interest & Landmarks","From the Chrysler Building to the Empire State Building, this world-famous skyline view of New York's most densely populated borough is a must-see for any traveler."
71,Disney World,United States,4.5,"Water & Amusement Parks, Theme Parks, Disney Parks & Activities","This world-famous Resort consists of four Theme Parks (Magic Kingdom Park, Epcot, Disney's Hollywood Studios, Disney's Animal Kingdom Theme Park), two Water Parks (Disney's Typhoon Lagoon Water Park, Disney's Blizzard Beach Water Park), over 25 Resort hotel properties, and a variety of additional entertainment offerings."
72,The British Museum,United Kingdom,4.5,"Museums, History Museums, Specialty Museums, Art Museums","A museum of the world, for the world. Discover over two million years of human history and culture. Some of the world-famous objects include the Rosetta Stone, the Parthenon sculptures and Egyptian mummies."
73,The Vatican Museums,Italy,4.5,"Sights & Landmarks, Sacred & Religious Sites, Museums, Art Museums","With more than five miles of corridors, this vast complex of museums chronicles the history and accomplishments of mankind over the last 2000 years, featuring classic masterpieces such as Rodin's ""Thinker"" and the Sistine Chapel."
74,The Shard,United Kingdom,4.5,"Sights & Landmarks, Architectural Buildings, Observation Decks & Towers, Points of Interest & Landmarks","Located 800ft above the ground, The View from The Shard is the highest viewing platform in London and is the only place to see the entire city all at once. The viewing galleries on Level 69 and the open-air Skydeck on Level 72 provide spectacular 360° views of London and beyond. In fact, on a clear day, visitors can see for 40 miles. Friendly and knowledgeable guest ambassadors are on hand to answer questions about this iconic building and the breath-taking views. Fall in love with the iconic skyline and spot famous sites including The Houses of Parliament, The Tower of London, Buckingham Palace, the Olympic Park and Wembley Stadium. Ideal for London's culture seekers as well as those on their first trip to the capital."
75,The Louvre,France,5.0,"Fun & Games, Scavenger Hunts","THATLou runs themed Treasure Hunts at the Louvre (what it stands for) & is part of THATMuse (other museums: Musee d'Orsay, British Museum & the Streets of Paris, THATRue). Our themed hunts give you an overview, whilst keeping you focused & injecting fun in your museum visit. Both educational & adrenalin-pumping, our goal is to make you want to see more of the museum after the hunt. No knowledge of art prior is necessary"
76,The Hermitage Museum,Russia,4.5,"Museums, Art Museums","One of the most famous art museums in the world, this museum is housed in the Winter Palace, and contains over 2.7 million exhibits including some of the world's greatest works of art."
