userId,itemId,rating
17,67,2
17,15,5
17,53,2
18,66,4
18,23,4
19,64,1
19,43,5
19,38,5
19,11,5
19,75,1
19,48,1
19,14,3
19,9,3
19,37,4
19,1,2
19,62,2
19,83,2
19,21,5
19,2,3
19,89,5
19,49,3
19,41,2
19,58,4
20,46,1
20,4,5
20,64,4
20,5,5
20,94,5
20,58,1
20,22,4
20,97,1
20,6,3
20,28,1
20,18,5
20,78,4
20,83,4
20,10,3
20,79,2
20,51,5
21,66,4
21,63,1
21,79,4
21,54,5
22,33,3
22,24,3
22,86,3
22,4,4
22,75,5
22,9,5
22,71,5
22,35,5
22,8,4
22,49,3
22,67,3
22,34,1
22,11,4
22,73,5
22,0,4
22,84,3
22,42,3
22,88,4
23,98,3
23,2,2
23,77,5
23,26,5
23,20,3
23,11,1
24,29,3
24,68,2
24,55,2
24,59,4
24,76,3
24,31,2
24,25,5
24,1,3
24,94,1
24,86,5
24,71,3
24,30,3
24,97,1
24,66,1
24,88,5
24,34,4
24,91,2
24,56,1
24,39,4
25,60,4
25,93,5
25,1,5
25,37,1
25,57,5
25,4,4
25,23,3
26,62,5
26,32,4
26,6,3
26,47,1
26,2,4
26,55,5
26,48,2
26,65,1
26,58,4
26,57,4
26,33,1
26,97,1
26,75,1
26,64,3
26,90,4
26,49,5
26,80,5
27,36,1
27,34,4
27,96,2
27,87,5
27,22,4
27,23,3
27,39,4
27,72,4
28,55,5
28,74,5
28,3,1
28,25,3
28,34,2
28,10,3
28,47,5
28,59,1
29,69,1
29,31,4
29,19,3
29,56,5
29,55,5
29,60,4
29,53,2
29,76,1
29,80,2
29,21,2
29,98,2
29,95,3
29,0,2
29,90,2
29,7,3
29,54,3
29,85,1
29,37,2
29,82,1
29,23,1
30,39,4
30,83,4
30,25,1
30,75,2
30,18,1
30,44,5
30,7,4
30,19,3
30,41,3
30,10,3
30,64,2
31,7,5
31,38,4
31,17,4
31,35,5
31,54,4
31,45,4
31,68,1
31,89,5
31,52,3
31,9,3
32,47,2
32,41,1
32,13,2
32,82,3
32,31,3
32,80,2
32,74,5
32,57,2
32,72,3
32,0,5
33,90,3
33,41,2
33,14,5
33,85,1
33,66,3
33,11,5
33,60,5
33,21,4
33,36,5
33,89,4
33,4,5
34,15,1
34,52,5
34,79,3
34,6,1
34,50,4
34,71,5
34,77,2
34,53,5
34,80,3
34,17,1
34,7,1
34,82,1
34,10,1
34,55,2
34,87,2
34,48,4
34,11,3
34,23,5
34,0,5
34,22,2
35,40,3
35,62,3
35,89,2
35,68,4
35,31,2
35,98,3
35,43,3
35,16,1
35,59,3
35,29,2
35,24,3
35,69,1
35,95,1
35,5,3
35,88,5
35,34,5
35,41,1
35,54,4
35,53,4
35,79,3
36,83,3
36,21,2
36,19,2
36,97,3
36,67,2
36,61,4
36,65,4
36,70,2
36,26,3
36,2,3
36,45,5
36,68,2
36,8,2
36,71,4
36,53,3
36,46,5
36,48,2
36,42,2
37,27,3
37,8,4
37,94,1
37,48,5
37,49,5
37,70,3
37,12,4
37,83,5
37,15,3
37,92,1
38,92,1
38,12,3
38,69,1
39,73,1
39,76,1
40,69,4
40,19,3
40,82,5
40,25,3
40,79,2
40,21,1
41,94,4
41,84,5
41,31,4
42,0,5
42,15,3
43,4,5
43,69,4
43,33,1
43,48,2
43,90,5
43,24,1
43,58,4
43,12,4
43,40,3
44,92,1
44,90,2
44,34,3
44,76,2
44,52,1
44,50,4
44,9,1
44,14,5
44,81,4
44,29,4
44,97,2
44,32,2
45,52,3
46,51,5
46,33,3
46,39,2
46,3,4
46,8,4
46,4,2
46,71,3
46,61,4
47,50,3
47,14,3
47,30,3
47,19,4
47,93,1
47,95,1
47,11,5
47,77,1
47,34,4
47,97,5
47,27,2
47,69,4
47,41,4
47,70,3
47,33,4
47,42,5
47,82,4
47,44,4
47,86,3
47,87,1
48,12,3
48,30,3
48,2,1
48,65,2
48,45,3
48,15,1
48,70,2
48,54,4
49,38,2
49,3,5
49,42,3
49,5,5
49,17,1
49,77,4
49,61,5
49,63,5
49,95,4
49,15,2
50,19,4
50,33,4
50,45,5
50,59,4
50,66,1
50,16,4
50,88,4
50,9,3
50,46,3
50,79,5
50,15,2
50,77,4
50,10,4
50,60,1
50,64,1
51,49,2
51,26,3
51,38,3
51,35,1
51,68,4
51,73,2
51,54,1
51,52,1
51,62,4
51,0,5
51,7,3
51,76,1
52,96,1
52,59,3
52,65,3
52,4,5
52,51,2
52,39,5
52,94,3
52,44,1
52,2,2
52,46,4
52,63,1
52,81,1
52,28,2
52,67,4
53,98,1
54,38,5
54,60,1
54,80,4
54,14,5
54,49,3
54,69,3
54,89,3
54,57,5
55,14,4
55,25,2
55,73,2
55,32,1
55,93,4
55,92,3
55,64,1
55,44,1
55,72,1
55,20,1
55,19,3
55,52,1
56,80,4
56,62,1
56,65,4
56,23,1
56,31,4
56,73,4
56,72,4
56,5,2
56,61,3
56,69,5
56,64,5
56,91,5
56,58,1
56,82,1
56,19,3
57,21,1
57,6,5
57,40,2
57,65,2
57,92,5
57,55,1
57,20,1
58,18,5
59,57,5
59,74,5
59,76,2
59,89,5
59,52,5
59,85,2
59,84,5
59,12,5
59,80,2
59,16,5
59,11,4
59,83,5
59,50,4
59,27,5
59,92,3
59,91,1
59,31,2
59,32,1
59,3,5
59,49,4
62,73,2
62,65,2
62,19,4
62,7,1
62,56,4
62,67,5
62,78,3
62,62,4
62,9,4
62,26,2
62,1,5
62,71,2
62,80,1
62,96,2
62,13,1
62,83,1
62,42,3
62,2,4
62,64,3
63,10,5
63,39,5
63,14,2
63,75,2
63,23,5
63,37,1
63,83,5
63,72,4
63,65,5
63,92,4
63,99,5
64,17,1
64,11,3
64,22,5
64,84,2
65,59,2
65,1,5
65,70,2
65,48,2
66,15,5
66,38,2
66,30,3
66,57,5
66,9,2
66,5,1
66,2,1
66,77,2
66,84,1
66,20,2
67,98,5
67,87,2
67,67,1
67,92,4
67,96,2
67,68,5
67,83,2
67,46,3
67,25,4
67,44,5
67,21,4
67,31,4
67,18,5
67,94,4
67,35,1
68,52,4
68,16,2
68,84,3
68,27,5
68,77,4
68,65,1
68,66,5
68,29,2
68,8,4
68,15,5
68,11,2
68,80,5
68,55,2
68,32,2
68,47,3
68,61,5
68,91,2
68,43,3
68,10,5
69,26,3
69,96,5
69,77,4
69,50,3
69,71,1
69,99,1
69,29,3
69,32,3
69,16,3
69,90,2
69,10,3
69,37,5
70,4,2
70,99,2
70,98,4
70,25,3
70,76,4
70,78,1
70,88,4
70,47,2
70,82,4
72,76,5
72,9,4
72,37,4
73,57,2
73,13,1
74,1,3
74,59,3
74,81,2
74,70,4
74,7,4
74,18,5
74,68,4
74,29,4
74,33,2
74,97,3
74,84,2
74,37,1
74,42,3
74,87,3
74,73,5
74,20,5
74,82,5
74,96,5
74,35,3
74,0,4
75,24,5
75,73,3
75,38,5
75,87,2
75,6,3
75,5,4
75,86,5
76,79,5
76,58,3
76,94,1
76,24,1
76,91,5
76,96,3
77,13,5
77,98,1
77,45,4
77,68,3
77,24,4
77,71,4
77,9,2
77,16,4
77,83,1
77,59,5
77,51,4
77,37,4
77,91,1
79,66,4
79,16,3
79,84,1
79,96,4
79,89,4
79,92,1
79,61,3
79,27,5
79,74,5
79,35,2
80,56,4
80,47,2
80,10,5
80,35,3
80,40,1
80,31,1
80,59,1
80,5,5
80,60,2
80,57,2
81,31,3
81,12,5
81,42,5
81,92,4
81,51,5
81,55,4
81,93,3
81,1,3
81,66,4
81,98,1
81,95,1
81,74,4
81,18,5
81,29,4
81,97,1
82,56,3
82,44,2
82,85,4
82,47,2
82,26,4
82,78,1
82,93,3
82,70,1
82,91,1
82,35,5
83,30,3
83,90,5
83,74,3
83,56,1
83,81,1
83,67,1
83,40,5
83,66,5
83,18,1
83,1,3
83,26,4
83,38,1
83,86,3
83,61,5
84,22,4
84,26,2
84,40,5
84,99,4
84,52,3
84,5,5
84,50,1
84,91,5
84,3,3
84,39,1
84,1,3
84,13,1
84,72,4
86,51,1
86,45,4
86,6,1
86,13,3
86,36,5
86,61,3
86,95,4
86,39,2
87,43,2
87,54,2
87,40,2
87,94,3
87,28,3
87,3,1
87,91,3
87,47,1
87,53,5
87,36,1
87,93,3
87,29,1
88,70,1
88,63,1
88,51,1
88,12,5
88,73,3
88,45,4
88,18,3
88,53,2
88,17,5
88,86,3
88,33,1
88,25,4
88,16,2
88,43,4
89,72,2
89,43,4
89,44,4
89,5,4
89,78,5
89,8,3
89,60,4
90,3,1
90,87,2
90,58,4
90,93,3
90,32,4
90,6,1
90,81,2
90,62,1
90,88,3
90,86,3
90,79,2
90,30,3
90,38,4
90,43,4
90,95,1
91,29,1
91,99,1
91,33,3
91,93,2
91,78,2
91,46,4
91,13,1
91,30,4
91,22,3
91,8,4
92,13,3
92,47,5
92,51,4
92,81,3
92,54,1
92,74,2
92,18,2
92,99,5
93,78,4
93,62,2
93,16,2
93,45,5
93,66,5
93,30,5
93,25,2
93,17,5
93,88,1
93,53,4
93,51,3
93,72,4
93,86,2
93,50,5
93,99,2
94,89,3
94,8,2
94,17,3
94,88,4
94,70,3
94,74,3
94,43,3
95,32,3
95,51,4
95,13,5
95,28,1
95,22,2
95,94,5
95,30,4
95,53,5
95,62,3
95,29,5
95,50,1
95,7,5
95,99,2
95,90,5
96,27,5
96,7,1
96,36,3
96,78,1
96,67,5
96,63,3
96,28,1
96,13,1
96,6,3
96,45,3
96,46,5
96,87,2
97,90,4
97,78,3
97,85,3
97,45,2
97,30,5
97,63,2
97,89,3
97,58,3
97,88,4
97,81,3
97,32,5
97,28,5
97,50,3
97,16,2
97,36,2
97,27,2
98,88,1
98,36,5
98,63,4
98,32,2
98,27,3
98,28,5
98,81,5
98,85,2
99,28,2
99,63,3
99,36,5
99,85,4
100,85,3
101,85,2
